                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79658,                 1.4523,                 1.0205,                0.98862,                0.79572,                0.96605,                0.79523,                0.60954,                 2.0054,                0.90988,              0.0032828,              0.0032828,              0.0032828
                      2,                0.79814,                0.84387,                 1.0067,                0.93382,                0.91371,                 0.9644,                0.73864,                0.78813,                0.89774,                0.97124,              0.0065943,              0.0065943,              0.0065943
                      3,                0.87942,                0.81362,                 1.0574,                0.85319,                0.77035,                0.87469,                0.59143,                 1.0632,                 1.0796,                 1.2161,              0.0098838,              0.0098838,              0.0098838
                      4,                  0.953,                0.79245,                 1.1046,                0.38114,                0.30666,                0.23337,                0.10488,                   2.04,                 2.9818,                 2.2927,               0.009901,               0.009901,               0.009901
                      5,                0.92327,                 0.7251,                  1.094,                0.86687,                0.71198,                0.84565,                0.59979,                  1.022,                 1.2765,                 1.2316,               0.009901,               0.009901,               0.009901
                      6,                0.89028,                0.67936,                 1.0829,                0.86885,                0.81746,                0.89593,                 0.6288,                 1.0289,                0.87391,                 1.2045,               0.009868,               0.009868,               0.009868
                      7,                0.89041,                0.67311,                 1.0811,                0.89253,                0.82651,                 0.9104,                0.65465,                0.95508,                0.86151,                 1.1552,               0.009835,               0.009835,               0.009835
                      8,                0.86087,                0.63822,                 1.0704,                0.93019,                0.87909,                 0.9483,                0.72644,                0.80173,                0.62838,                 1.0545,               0.009802,               0.009802,               0.009802
                      9,                 0.8327,                 0.6019,                  1.053,                0.86722,                0.82896,                 0.8998,                0.67092,                0.86939,                  0.753,                 1.1104,               0.009769,               0.009769,               0.009769
                     10,                 0.8285,                0.60168,                 1.0605,                0.93159,                0.86516,                0.94505,                0.73808,                 0.7929,                0.61645,                  1.041,               0.009736,               0.009736,               0.009736
                     11,                0.82835,                0.59188,                 1.0584,                0.88309,                0.85767,                0.92329,                0.71225,                0.81712,                0.63326,                 1.0629,               0.009703,               0.009703,               0.009703
                     12,                0.81681,                0.58133,                 1.0513,                0.92599,                0.90193,                0.95389,                0.74004,                 0.7799,                0.62526,                 1.0375,                0.00967,                0.00967,                0.00967
                     13,                0.78968,                 0.5641,                 1.0398,                0.93561,                0.88088,                0.94935,                0.73925,                0.79492,                 0.6072,                 1.0512,               0.009637,               0.009637,               0.009637
                     14,                 0.7931,                0.56361,                 1.0402,                0.93383,                0.88577,                0.95035,                0.74625,                0.78046,                0.55916,                 1.0272,               0.009604,               0.009604,               0.009604
                     15,                0.77733,                0.54326,                 1.0323,                0.94102,                0.89188,                0.95905,                0.77353,                 0.6991,                 0.5538,                 1.0006,               0.009571,               0.009571,               0.009571
                     16,                 0.7802,                0.54606,                 1.0345,                0.94027,                 0.9157,                0.96608,                0.77623,                0.70795,                0.50156,                 1.0044,               0.009538,               0.009538,               0.009538
                     17,                  0.768,                0.53081,                 1.0314,                0.93979,                0.90165,                 0.9631,                0.77801,                0.72407,                0.50522,                 1.0041,               0.009505,               0.009505,               0.009505
                     18,                0.75341,                0.52147,                 1.0229,                   0.94,                0.89954,                0.95854,                0.77961,                0.71209,                0.50102,                 1.0046,               0.009472,               0.009472,               0.009472
                     19,                0.75681,                0.52789,                  1.029,                0.95228,                0.91142,                0.96948,                0.79655,                0.68003,                0.45706,                0.97232,               0.009439,               0.009439,               0.009439
                     20,                0.75397,                0.51408,                 1.0258,                0.94153,                0.86564,                0.95164,                0.76373,                0.72802,                0.51929,                 1.0109,               0.009406,               0.009406,               0.009406
                     21,                0.74496,                 0.5186,                 1.0212,                0.94669,                0.91122,                0.97054,                0.79703,                0.67391,                0.46989,                0.97198,               0.009373,               0.009373,               0.009373
                     22,                0.73283,                0.50271,                 1.0155,                0.96345,                0.88638,                0.96126,                0.78709,                0.69129,                0.45951,                0.97857,                0.00934,                0.00934,                0.00934
                     23,                0.73958,                0.50238,                 1.0183,                0.94033,                0.91459,                0.96536,                0.78365,                0.73076,                0.49043,                 1.0175,               0.009307,               0.009307,               0.009307
                     24,                0.72671,                0.49187,                 1.0114,                0.94014,                0.91139,                0.96206,                0.79576,                0.66868,                0.49581,                0.97574,               0.009274,               0.009274,               0.009274
                     25,                0.73227,                0.49812,                 1.0174,                0.95614,                0.90558,                0.96596,                0.79052,                0.67944,                0.46979,                0.97047,               0.009241,               0.009241,               0.009241
                     26,                0.72457,                0.49153,                   1.01,                0.94619,                0.90409,                0.96127,                 0.7883,                0.71207,                0.48558,                0.99693,               0.009208,               0.009208,               0.009208
                     27,                0.70666,                0.47632,                 1.0032,                0.95473,                0.90182,                0.96634,                0.81311,                0.63469,                0.44189,                0.95817,               0.009175,               0.009175,               0.009175
                     28,                0.72082,                0.48416,                  1.011,                0.96348,                 0.9212,                0.96996,                0.79353,                0.67633,                0.43291,                0.99811,               0.009142,               0.009142,               0.009142
                     29,                0.71054,                0.47396,                  1.004,                0.95312,                0.90959,                0.97131,                0.80554,                0.63606,                0.43272,                0.95993,               0.009109,               0.009109,               0.009109
                     30,                0.71169,                 0.4815,                 1.0102,                0.96331,                0.89982,                0.96668,                0.80555,                0.64426,                0.45153,                0.95758,               0.009076,               0.009076,               0.009076
