                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80136,                 1.5681,                 1.0232,                0.99601,                 0.6098,                0.94543,                0.77772,                0.62519,                 2.2636,                0.91017,              0.0032653,              0.0032653,              0.0032653
                      2,                0.79422,                0.84576,                 1.0017,                0.95112,                 0.9047,                0.96495,                0.76838,                0.71456,                  1.148,                0.96659,              0.0065769,              0.0065769,              0.0065769
                      3,                0.85986,                0.80918,                  1.044,                0.89175,                0.83812,                0.91637,                 0.6825,                0.88765,                0.90079,                 1.0985,              0.0098664,              0.0098664,              0.0098664
                      4,                0.90637,                0.76782,                 1.0728,                0.74265,                 0.6909,                 0.7472,                 0.4929,                 1.1571,                 1.6529,                 1.3364,               0.009901,               0.009901,               0.009901
                      5,                 0.8939,                0.71258,                 1.0822,                0.88322,                0.82698,                 0.8939,                0.60657,                  1.067,                0.85929,                 1.2766,               0.009901,               0.009901,               0.009901
                      6,                0.87139,                0.67453,                 1.0709,                0.87918,                0.77581,                0.87213,                0.60018,                 1.0418,                0.97944,                 1.2269,               0.009868,               0.009868,               0.009868
                      7,                0.84497,                0.64036,                 1.0602,                0.87659,                0.86194,                0.91902,                0.69647,                0.87632,                0.72886,                  1.115,               0.009835,               0.009835,               0.009835
                      8,                0.83105,                0.61922,                 1.0536,                0.88222,                0.79617,                0.89236,                0.64889,                 1.0001,                0.85593,                 1.2286,               0.009802,               0.009802,               0.009802
                      9,                 0.8216,                0.60055,                 1.0457,                0.88325,                0.86011,                0.92488,                0.71618,                0.82231,                0.68593,                 1.0642,               0.009769,               0.009769,               0.009769
                     10,                0.81836,                 0.5965,                  1.048,                0.91697,                0.88638,                0.94283,                0.73256,                0.78275,                0.59542,                 1.0389,               0.009736,               0.009736,               0.009736
                     11,                0.79457,                0.57483,                  1.038,                0.88995,                0.84789,                0.92637,                0.70864,                0.85745,                0.72739,                 1.0923,               0.009703,               0.009703,               0.009703
                     12,                0.79327,                0.57469,                 1.0404,                0.94197,                  0.854,                0.94364,                 0.7364,                0.76219,                0.63429,                 1.0425,                0.00967,                0.00967,                0.00967
                     13,                0.78134,                0.55619,                 1.0342,                0.92695,                0.84056,                0.93052,                0.71028,                0.82037,                0.65062,                  1.078,               0.009637,               0.009637,               0.009637
                     14,                0.77983,                0.55717,                 1.0375,                0.93835,                0.91123,                0.96026,                0.77572,                0.72161,                0.50051,                0.99695,               0.009604,               0.009604,               0.009604
                     15,                0.77197,                0.54492,                 1.0315,                0.93649,                0.90226,                0.95979,                0.76257,                0.74148,                 0.5565,                 1.0064,               0.009571,               0.009571,               0.009571
                     16,                0.76303,                0.53211,                 1.0241,                0.90687,                0.85706,                0.93246,                0.70974,                0.80814,                0.64145,                 1.0647,               0.009538,               0.009538,               0.009538
                     17,                0.75386,                0.52833,                 1.0259,                0.92117,                0.87355,                0.93655,                0.71247,                0.87589,                0.60147,                 1.1098,               0.009505,               0.009505,               0.009505
                     18,                0.74476,                0.51524,                 1.0158,                0.92144,                0.91712,                0.96063,                0.78744,                0.68147,                 0.5389,                0.98584,               0.009472,               0.009472,               0.009472
                     19,                0.74592,                0.51604,                 1.0226,                0.91939,                0.86391,                0.92962,                0.73452,                0.79528,                0.57395,                 1.0647,               0.009439,               0.009439,               0.009439
                     20,                0.73935,                0.51041,                 1.0181,                0.94144,                0.90348,                 0.9566,                0.78278,                0.71558,                0.50249,                 1.0089,               0.009406,               0.009406,               0.009406
                     21,                0.74007,                0.50466,                 1.0151,                0.93421,                0.90287,                0.96321,                0.77521,                0.69743,                0.56851,                0.99738,               0.009373,               0.009373,               0.009373
                     22,                0.72982,                0.50133,                 1.0126,                0.94247,                0.92181,                0.96888,                0.80086,                0.66955,                0.44727,                0.97484,                0.00934,                0.00934,                0.00934
                     23,                0.73203,                0.49576,                 1.0146,                0.95242,                0.89371,                0.96572,                0.79663,                0.67433,                0.49684,                0.98514,               0.009307,               0.009307,               0.009307
                     24,                0.72429,                 0.4966,                 1.0077,                0.92247,                0.88668,                0.94375,                0.77241,                0.70724,                0.49853,                 1.0093,               0.009274,               0.009274,               0.009274
                     25,                0.72154,                0.48745,                 1.0107,                0.93971,                0.91631,                0.96507,                0.80223,                0.67313,                0.44129,                0.97548,               0.009241,               0.009241,               0.009241
                     26,                 0.7169,                0.48664,                 1.0056,                0.94054,                0.92425,                0.96569,                0.80147,                0.66354,                0.44543,                0.98024,               0.009208,               0.009208,               0.009208
                     27,                0.71098,                0.47874,                 1.0022,                0.93754,                0.90104,                0.95964,                0.78055,                0.69711,                0.49321,                0.99206,               0.009175,               0.009175,               0.009175
                     28,                0.70392,                 0.4803,                  1.002,                0.95002,                0.92896,                0.97149,                0.81528,                0.64096,                0.42474,                0.95526,               0.009142,               0.009142,               0.009142
                     29,                0.70827,                0.47666,                0.99967,                0.94121,                0.89002,                0.95911,                0.78735,                0.69509,                0.47016,                0.99391,               0.009109,               0.009109,               0.009109
                     30,                0.70463,                 0.4744,                0.99968,                0.95587,                0.91387,                0.96823,                0.80955,                0.63603,                0.42202,                0.95932,               0.009076,               0.009076,               0.009076
                     31,                0.70922,                0.47844,                 1.0046,                0.95068,                0.90665,                0.96893,                0.79983,                 0.6747,                 0.4422,                0.98964,               0.009043,               0.009043,               0.009043
                     32,                 0.7005,                0.47013,                 1.0009,                0.95044,                0.92364,                0.97025,                0.81073,                0.63392,                0.42856,                0.95733,                0.00901,                0.00901,                0.00901
                     33,                0.69514,                0.46447,                0.99658,                 0.9594,                0.93036,                0.97418,                0.82458,                0.62471,                0.40823,                0.94781,               0.008977,               0.008977,               0.008977
                     34,                0.68719,                0.46006,                0.98828,                0.95667,                0.92059,                 0.9706,                0.80534,                 0.6591,                0.42365,                0.97294,               0.008944,               0.008944,               0.008944
                     35,                0.68359,                   0.46,                0.99127,                0.96055,                0.90409,                0.96236,                0.80991,                0.63504,                0.42691,                0.96009,               0.008911,               0.008911,               0.008911
                     36,                0.68829,                0.46224,                0.99541,                0.95219,                0.92469,                0.97079,                0.81338,                0.64849,                 0.4095,                0.97011,               0.008878,               0.008878,               0.008878
                     37,                0.68477,                0.45519,                 0.9903,                 0.9432,                0.92309,                0.97136,                0.81141,                0.64608,                0.44496,                 0.9637,               0.008845,               0.008845,               0.008845
                     38,                0.67952,                0.44716,                0.98607,                0.95646,                0.91326,                0.96592,                 0.8214,                0.61918,                0.42651,                0.94687,               0.008812,               0.008812,               0.008812
                     39,                0.68353,                0.45418,                0.99366,                0.95995,                 0.9102,                0.97067,                0.81837,                0.63626,                0.41699,                0.95306,               0.008779,               0.008779,               0.008779
                     40,                0.66918,                0.44172,                0.98752,                0.94991,                0.93219,                0.97201,                0.81382,                 0.6398,                0.40683,                0.96434,               0.008746,               0.008746,               0.008746
                     41,                0.67757,                0.45079,                0.99047,                0.94994,                0.92914,                0.97664,                0.82919,                0.61396,                0.39479,                0.94972,               0.008713,               0.008713,               0.008713
                     42,                0.67854,                0.44647,                0.98583,                0.96291,                0.93569,                0.97945,                0.84101,                0.58616,                0.36675,                0.92641,                0.00868,                0.00868,                0.00868
                     43,                0.66671,                0.43938,                0.98708,                0.95947,                0.92543,                0.97293,                0.82859,                 0.6161,                  0.395,                0.94125,               0.008647,               0.008647,               0.008647
                     44,                0.66752,                0.44186,                0.98021,                0.95998,                 0.9157,                 0.9681,                0.82987,                0.59956,                0.40552,                0.93337,               0.008614,               0.008614,               0.008614
                     45,                0.66829,                0.43601,                0.98367,                0.94921,                0.93616,                0.97526,                0.82555,                0.61375,                0.38318,                0.94823,               0.008581,               0.008581,               0.008581
                     46,                0.66208,                0.43231,                0.98187,                0.95621,                0.93219,                0.97826,                 0.8301,                0.60942,                0.38687,                0.93145,               0.008548,               0.008548,               0.008548
                     47,                0.65729,                0.43338,                0.98337,                0.96429,                0.92377,                  0.974,                 0.8328,                0.61486,                0.39728,                0.94495,               0.008515,               0.008515,               0.008515
                     48,                0.65971,                0.43617,                0.98311,                0.95415,                0.92303,                0.97109,                 0.8165,                0.63006,                0.40721,                0.95946,               0.008482,               0.008482,               0.008482
                     49,                 0.6414,                0.41995,                0.97514,                0.96891,                0.91369,                0.97122,                0.81641,                0.62807,                0.40361,                0.95811,               0.008449,               0.008449,               0.008449
                     50,                0.65911,                0.43182,                0.97765,                0.96327,                0.92926,                0.97536,                0.83133,                0.60744,                0.37956,                0.94141,               0.008416,               0.008416,               0.008416
                     51,                0.65187,                0.42604,                0.97918,                0.95807,                0.93647,                0.97806,                0.83529,                0.59403,                0.38284,                0.92945,               0.008383,               0.008383,               0.008383
                     52,                0.65181,                0.42325,                0.97625,                 0.9705,                0.91753,                0.97545,                 0.8296,                0.61412,                0.38165,                0.93832,                0.00835,                0.00835,                0.00835
