                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68701,                0.46259,                0.99708,                0.95846,                0.91692,                0.97241,                0.82251,                 0.6242,                 0.4032,                0.95938,              0.0086852,              0.0086852,              0.0086852
                     37,                0.69392,                0.46216,                0.99615,                0.95917,                0.92608,                0.97569,                0.82749,                0.63178,                0.39294,                0.94666,              0.0086465,              0.0086465,              0.0086465
                     38,                0.68644,                0.45391,                0.99471,                0.96146,                0.92969,                0.97741,                0.83977,                0.59378,                0.37132,                0.93155,              0.0086078,              0.0086078,              0.0086078
                     39,                0.68282,                0.45413,                0.99113,                0.95385,                0.93431,                0.97734,                0.83953,                0.58332,                0.37606,                0.92663,              0.0085691,              0.0085691,              0.0085691
                     40,                0.68483,                0.45718,                0.99353,                0.95942,                0.92424,                0.97458,                0.83232,                0.60552,                0.38114,                0.94555,              0.0085305,              0.0085305,              0.0085305
                     41,                0.68528,                 0.4529,                0.99187,                0.95858,                0.93308,                0.97427,                0.82844,                 0.5962,                0.37871,                 0.9404,              0.0084918,              0.0084918,              0.0084918
                     42,                0.68084,                0.45095,                0.98968,                0.95947,                0.92553,                0.97393,                0.83554,                0.58698,                0.38377,                0.93109,              0.0084531,              0.0084531,              0.0084531
                     43,                0.67428,                0.44892,                0.99301,                0.95306,                0.93032,                0.97415,                0.83988,                0.60316,                0.37386,                0.94355,              0.0084145,              0.0084145,              0.0084145
                     44,                0.67698,                0.44506,                0.99318,                0.95393,                0.93952,                0.97404,                0.84228,                0.58135,                0.37282,                0.93187,              0.0083758,              0.0083758,              0.0083758
                     45,                 0.6648,                0.43674,                0.98065,                0.97087,                 0.9161,                0.97383,                0.83364,                 0.5863,                0.36912,                0.93468,              0.0083371,              0.0083371,              0.0083371
                     46,                0.67055,                 0.4388,                0.98505,                0.96817,                0.92916,                0.97829,                0.84239,                0.56806,                0.36583,                0.91717,              0.0082984,              0.0082984,              0.0082984
                     47,                0.66856,                0.43886,                0.98367,                0.95931,                0.93609,                 0.9803,                 0.8468,                0.57447,                0.36234,                0.92205,              0.0082598,              0.0082598,              0.0082598
                     48,                0.65991,                0.43027,                0.98385,                0.96887,                0.92914,                 0.9775,                0.83865,                0.60224,                 0.3708,                0.93567,              0.0082211,              0.0082211,              0.0082211
                     49,                0.66002,                0.42859,                0.97979,                0.95996,                0.93742,                0.98206,                0.84578,                0.57493,                0.35389,                0.93093,              0.0081824,              0.0081824,              0.0081824
                     50,                0.66036,                0.43165,                0.98323,                0.96571,                0.92486,                0.97725,                0.83018,                0.62312,                0.37103,                0.96009,              0.0081437,              0.0081437,              0.0081437
                     51,                0.66343,                0.43378,                0.98315,                0.96492,                0.92418,                0.97869,                0.84453,                0.57466,                  0.364,                0.93067,              0.0081051,              0.0081051,              0.0081051
