                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69713,                0.46566,                 1.0047,                0.95505,                0.93458,                0.97403,                0.83014,                0.60266,                0.38821,                0.94192,              0.0093426,              0.0093426,              0.0093426
                     37,                 0.6962,                0.46299,                0.99983,                0.94792,                0.93097,                0.97537,                0.82039,                0.63764,                 0.3894,                0.95867,              0.0093232,              0.0093232,              0.0093232
                     38,                0.69464,                 0.4556,                 1.0011,                 0.9572,                0.92608,                0.97769,                0.82625,                0.61777,                0.40099,                0.94344,              0.0093039,              0.0093039,              0.0093039
                     39,                0.69205,                0.45781,                  1.001,                0.95958,                0.92806,                0.97724,                 0.8252,                0.61741,                0.39064,                0.95699,              0.0092846,              0.0092846,              0.0092846
                     40,                 0.6847,                0.46364,                0.99886,                0.95174,                0.93708,                0.97573,                0.82913,                0.59416,                0.37921,                0.93904,              0.0092652,              0.0092652,              0.0092652
                     41,                0.68747,                0.45526,                  0.999,                0.95541,                0.92932,                0.97534,                0.82069,                0.63702,                0.39679,                0.96768,              0.0092459,              0.0092459,              0.0092459
                     42,                0.68672,                 0.4581,                0.99649,                0.95252,                 0.9328,                0.97375,                0.83682,                0.59137,                0.37741,                0.93826,              0.0092266,              0.0092266,              0.0092266
                     43,                0.68016,                 0.4522,                0.99728,                0.96557,                0.92513,                 0.9783,                0.83873,                0.57991,                0.37395,                0.93121,              0.0092072,              0.0092072,              0.0092072
                     44,                0.68343,                0.45145,                 0.9987,                0.96201,                 0.9212,                0.97512,                0.83495,                0.60143,                0.38397,                0.93826,              0.0091879,              0.0091879,              0.0091879
                     45,                0.67274,                0.44327,                0.98313,                0.95143,                0.93346,                0.97394,                0.83215,                 0.6095,                0.37904,                0.95061,              0.0091686,              0.0091686,              0.0091686
                     46,                0.67902,                 0.4439,                0.99366,                0.97431,                0.92672,                0.97792,                0.84151,                0.58396,                0.36911,                0.92854,              0.0091492,              0.0091492,              0.0091492
                     47,                0.66949,                0.43816,                0.98793,                0.96773,                0.91998,                0.97504,                0.83264,                0.60447,                0.37165,                0.94616,              0.0091299,              0.0091299,              0.0091299
                     48,                0.66784,                0.43747,                0.99089,                0.97182,                 0.9271,                0.97499,                0.84453,                0.59144,                0.36251,                0.93998,              0.0091105,              0.0091105,              0.0091105
                     49,                0.66679,                0.43602,                0.98653,                0.96415,                0.93158,                0.97667,                0.84246,                0.58287,                0.36906,                0.93498,              0.0090912,              0.0090912,              0.0090912
                     50,                0.66119,                0.44231,                0.98663,                0.95461,                0.93795,                0.97626,                 0.8423,                0.57289,                0.36247,                0.92465,              0.0090719,              0.0090719,              0.0090719
                     51,                0.66837,                0.43286,                0.99106,                0.97317,                0.93053,                0.97713,                0.84196,                0.57757,                0.36009,                0.92561,              0.0090525,              0.0090525,              0.0090525
                     52,                0.66143,                0.43122,                0.98469,                0.95574,                0.93651,                0.97804,                0.84434,                0.57941,                0.35926,                  0.929,              0.0090332,              0.0090332,              0.0090332
                     53,                0.66082,                0.42706,                0.98261,                0.96181,                0.93856,                0.97711,                0.84024,                0.58923,                0.35435,                0.93594,              0.0090139,              0.0090139,              0.0090139
                     54,                0.67175,                0.43477,                0.98659,                0.95651,                0.94197,                0.97783,                0.84049,                0.58093,                0.35358,                0.93427,              0.0089945,              0.0089945,              0.0089945
                     55,                0.65508,                0.42804,                0.97863,                0.97179,                0.92602,                0.97774,                0.84962,                0.57124,                0.35734,                0.92715,              0.0089752,              0.0089752,              0.0089752
